job_title,company,location,employment_type,experience,salary,team_size,interview_rounds,required_skills,nice_to_have,perks,domain
Financial Analyst,Ola,Ahmedabad / Remote,Full-Time,2+ years,₹10–43 LPA,~28,5,"IFRS, Investment Banking, Treasury, SAP, CFA, Bloomberg Terminal","Accounting, Excel, Financial Reporting","Gym membership, ESOPs, ₹50K learning budget, Remote-first culture, Mental health support",Finance
FP&A Analyst,Tech Mahindra,Gurgaon / Remote,Full-Time,6+ years,₹29–41 LPA,~11,3,"Valuation, Accounting, Auditing, Cash Flow Management, Treasury, VBA, M&A, FP&A, Oracle Financials","Financial Modeling, Tally, Excel","Maternity/paternity leave, ₹50K learning budget, MacBook Pro, Remote-first culture",Finance
Principal Engineer,Tech Mahindra,Kochi / Remote,Full-Time,1+ years,₹27–40 LPA,~24,3,"Angular, gRPC, Linux, Redis, Docker, REST APIs, Django, FastAPI, CI/CD","MongoDB, Rust, TypeScript","Health & dental insurance, Remote-first culture, Gym membership, ESOPs, ₹50K learning budget, Annual performance bonus",Software Engineering
Senior DevOps Engineer,Swiggy,Gurgaon / Remote,Full-Time,4+ years,₹22–39 LPA,~12,4,"Site Reliability Engineering, Docker, Linux, GitLab CI, Nginx, EKS, HAProxy","Vault, Azure, FluxCD","Flexible work hours, Quarterly offsites, Annual performance bonus, ESOPs",DevOps
Senior PM,Apple,Jaipur / Remote,Full-Time,8+ years,₹19–68 LPA,~33,3,"Competitive Analysis, Figma, JIRA, Customer Discovery, RICE Framework, PRD Writing, OKRs, Python","Confluence, SQL, User Research","Health & dental insurance, Annual performance bonus, Mental health support, Quarterly offsites, Gym membership",Product Management
Backend Developer,Adobe,Pune / Remote,Full-Time,7+ years,₹11–47 LPA,~16,5,"Python, MongoDB, gRPC, GraphQL, Node.js, PostgreSQL, Kafka, Kubernetes","CI/CD, React, Vue.js","₹50K learning budget, Gym membership, Health & dental insurance, Mental health support, Maternity/paternity leave, Flexible work hours",Software Engineering
Senior Financial Analyst,Amazon,Delhi / Remote,Full-Time,1+ years,₹20–30 LPA,~24,4,"Budgeting, Auditing, DCF Analysis, VBA, IFRS, LBO Modeling, M&A, Financial Reporting, CFA","Tax Compliance, Credit Analysis, Cash Flow Management","Maternity/paternity leave, Remote-first culture, Quarterly offsites, ESOPs, MacBook Pro, Flexible work hours",Finance
Head of HR,Flipkart,Pune / Remote,Full-Time,1+ years,₹13–60 LPA,~39,3,"Training & Development, HR Analytics, Change Management, SAP HR, HRMS, Organisational Development, Employee Relations, Exit Management, Talent Acquisition","Diversity & Inclusion, Workday, HRIS","Annual performance bonus, Mental health support, MacBook Pro, Remote-first culture, Health & dental insurance, Maternity/paternity leave",Human Resources
NLP Engineer,Nykaa,Ahmedabad / Remote,Full-Time,5+ years,₹28–58 LPA,~37,5,"Time Series, TensorFlow, Feature Engineering, Statistics, Kafka, BERT, Hadoop","NumPy, Kubeflow, Spark","Annual performance bonus, Quarterly offsites, ₹50K learning budget, Health & dental insurance, Flexible work hours",Data Science
Staff Engineer,Microsoft,Delhi / Remote,Full-Time,3+ years,₹22–60 LPA,~32,5,"Kubernetes, Python, Django, GraphQL, gRPC, Jenkins, GCP, TypeScript","Vue.js, Redis, Git","Quarterly offsites, Maternity/paternity leave, ₹50K learning budget, Mental health support",Software Engineering
Financial Analyst,Capgemini,Kochi / Remote,Full-Time,7+ years,₹8–45 LPA,~28,3,"Budgeting, Valuation, Financial Reporting, M&A, IFRS, SAP, DCF Analysis, Oracle Financials","Due Diligence, GAAP, CA","Quarterly offsites, MacBook Pro, Remote-first culture, Gym membership",Finance
Sales Director,TCS,Noida / Remote,Full-Time,3+ years,₹23–38 LPA,~25,5,"Salesforce, B2B Sales, CRM, SaaS Sales, MEDDIC, Cross-selling, Negotiation","Revenue Forecasting, LinkedIn Sales Navigator, Lead Generation","Maternity/paternity leave, Flexible work hours, Remote-first culture, Quarterly offsites",Sales
UX Researcher,MakeMyTrip,Kolkata / Remote,Full-Time,8+ years,₹22–71 LPA,~34,6,"Visual Design, Motion Design, InVision, Heuristic Evaluation, User Research, Zeplin, Interaction Design, Information Architecture, Prototyping","Storyboarding, Principle, A/B Testing","Flexible work hours, ₹50K learning budget, Free meals, Remote-first culture",UI/UX Design
Security Analyst,EY,Gurgaon / Remote,Full-Time,3+ years,₹20–44 LPA,~23,4,"Threat Intelligence, Metasploit, Network Security, Bash, OSCP, Python, Incident Response","Burp Suite, SIEM, PKI","Gym membership, ESOPs, Annual performance bonus, Mental health support",Cybersecurity
Brand Manager,Browserstack,Kochi / Remote,Full-Time,1+ years,₹21–54 LPA,~27,5,"Email Marketing, SEM, HubSpot, Conversion Rate Optimisation, Community Management, Brand Strategy, Adobe Suite","Marketing Automation, Content Marketing, Meta Ads","Gym membership, Flexible work hours, ₹50K learning budget, MacBook Pro",Marketing
Principal Engineer,Google,Delhi / Remote,Full-Time,1+ years,₹15–30 LPA,~32,5,"Vue.js, Python, System Design, Rust, Elasticsearch, Go, Linux, C++","Redis, CI/CD, Docker","Annual performance bonus, Health & dental insurance, Mental health support, MacBook Pro",Software Engineering
CISO,Netflix,Mumbai / Remote,Full-Time,8+ years,₹20–56 LPA,~11,5,"DLP, Bash, NIST Framework, SOC Operations, Zero Trust, Wireshark, Cryptography, Cloud Security (AWS/GCP)","CEH, SIEM, Forensics","Health & dental insurance, MacBook Pro, Mental health support, Free meals, ₹50K learning budget",Cybersecurity
Associate PM,Accenture,Ahmedabad / Remote,Full-Time,7+ years,₹15–59 LPA,~34,3,"Scrum, Product Analytics, OKRs, Roadmapping, Miro, KPIs, Growth Hacking, RICE Framework","Usability Testing, User Research, Kanban","Remote-first culture, MacBook Pro, ESOPs, Health & dental insurance",Product Management
Design Lead,Byju's,Hyderabad / Remote,Full-Time,4+ years,₹25–38 LPA,~10,3,"Design Thinking, Storyboarding, Prototyping, Card Sorting, Interaction Design, Motion Design, Usability Testing","Framer, User Flows, Figma","Mental health support, Quarterly offsites, ₹50K learning budget, Remote-first culture, Flexible work hours, MacBook Pro",UI/UX Design
Business Development Manager,Deloitte,Noida / Remote,Full-Time,7+ years,₹25–56 LPA,~22,3,"Lead Generation, SDR, Upselling, Salesforce, Revenue Forecasting, Negotiation, Cold Outreach, MEDDIC, Enterprise Sales","CRM, SaaS Sales, Pipeline Management","Gym membership, Maternity/paternity leave, Flexible work hours, Free meals",Sales
CMO,TCS,Pune / Remote,Full-Time,4+ years,₹22–47 LPA,~37,3,"SEM, Google Ads, Salesforce, PR, Adobe Suite, Programmatic Advertising","Copywriting, CRM, Marketo","Health & dental insurance, ESOPs, ₹50K learning budget, Gym membership, Annual performance bonus, Free meals",Marketing
Associate PM,Zomato,Chennai / Remote,Full-Time,2+ years,₹30–44 LPA,~35,3,"Go-to-Market Strategy, Agile, Miro, Roadmapping, Customer Discovery, JIRA, Growth Hacking, Feature Prioritisation, Stakeholder Management, Confluence","Figma, Python, PRD Writing","₹50K learning budget, Quarterly offsites, Health & dental insurance, ESOPs",Product Management
Security Analyst,Groww,Noida / Remote,Full-Time,4+ years,₹29–45 LPA,~22,5,"Penetration Testing, Wireshark, OSCP, DLP, Incident Response, SIEM, Cloud Security (AWS/GCP), Firewalls, Splunk","Python, Burp Suite, OWASP Top 10","Flexible work hours, Free meals, Remote-first culture, Quarterly offsites, Health & dental insurance, Gym membership",Cybersecurity
Growth Manager,Salesforce,Kochi / Remote,Full-Time,3+ years,₹18–56 LPA,~11,6,"Marketo, Email Marketing, Programmatic Advertising, Brand Strategy, Market Research, Google Analytics, LinkedIn Ads","CRM, Adobe Suite, Copywriting","Mental health support, Quarterly offsites, Free meals, Annual performance bonus, Gym membership, ESOPs",Marketing
Associate PM,IBM,Mumbai / Remote,Full-Time,2+ years,₹26–56 LPA,~35,6,"SQL, MoSCoW, Figma, Kanban, Amplitude, OKRs, Miro","Wireframing, User Research, A/B Testing","₹50K learning budget, Remote-first culture, Health & dental insurance, MacBook Pro",Product Management
SOC Analyst,Browserstack,Delhi / Remote,Full-Time,6+ years,₹17–47 LPA,~17,5,"Network Security, Firewalls, Threat Intelligence, PKI, Burp Suite, Splunk, CEH","Metasploit, SIEM, OSCP","Maternity/paternity leave, Health & dental insurance, Remote-first culture, Quarterly offsites, Flexible work hours",Cybersecurity
Talent Acquisition Specialist,Wipro,Jaipur / Remote,Full-Time,9+ years,₹17–32 LPA,~30,5,"Change Management, Onboarding, Conflict Resolution, Employer Branding, Compensation & Benefits, Training & Development, HR Analytics, Exit Management","Payroll, Workday, Succession Planning","MacBook Pro, Quarterly offsites, Remote-first culture, ESOPs, Annual performance bonus, Flexible work hours",Human Resources
FP&A Analyst,Vedantu,Ahmedabad / Remote,Full-Time,6+ years,₹24–50 LPA,~33,5,"Tax Compliance, Financial Reporting, FP&A, Bloomberg Terminal, Auditing, CFA","Risk Analysis, Oracle Financials, CA","MacBook Pro, Mental health support, Flexible work hours, Quarterly offsites, Maternity/paternity leave",Finance
Interaction Designer,upGrad,Chennai / Remote,Full-Time,6+ years,₹12–56 LPA,~33,5,"HTML/CSS, Accessibility (WCAG), Design Thinking, Figma, Visual Design, Zeplin, Storyboarding, Principle","Prototyping, Wireframing, Interaction Design","Annual performance bonus, Flexible work hours, Free meals, Mental health support, Quarterly offsites",UI/UX Design
Senior DevOps Engineer,Adobe,Jaipur / Remote,Full-Time,7+ years,₹12–43 LPA,~39,3,"Python, New Relic, GitHub Actions, Terraform, Go, Datadog, Pulumi, EKS, HAProxy, Azure","Service Mesh, Nginx, Site Reliability Engineering","Maternity/paternity leave, Quarterly offsites, ₹50K learning budget, Mental health support, Health & dental insurance",DevOps
Security Engineer,HCL,Jaipur / Remote,Full-Time,2+ years,₹14–50 LPA,~13,4,"SOC Operations, NIST Framework, ISO 27001, Wireshark, Zero Trust, Vulnerability Assessment, Firewalls, Metasploit","DLP, Python, Cloud Security (AWS/GCP)","Health & dental insurance, Free meals, ₹50K learning budget, Maternity/paternity leave, Annual performance bonus",Cybersecurity
Software Engineer,InMobi,Kolkata / Remote,Full-Time,8+ years,₹21–67 LPA,~5,5,"React, Git, AWS, Python, Elasticsearch, Java, Kafka, Django","Azure, C++, Linux","MacBook Pro, Maternity/paternity leave, ₹50K learning budget, Mental health support",Software Engineering
Head of Design,IBM,Kolkata / Remote,Full-Time,8+ years,₹17–27 LPA,~32,5,"Lottie, User Flows, InVision, Motion Design, Usability Testing, Wireframing","Storyboarding, A/B Testing, Adobe XD","ESOPs, Health & dental insurance, Flexible work hours, ₹50K learning budget",UI/UX Design
Design Lead,SAP,Gurgaon / Remote,Full-Time,5+ years,₹11–29 LPA,~40,4,"User Research, Prototyping, Principle, Framer, Design Thinking, Figma, Motion Design, Accessibility (WCAG)","Storyboarding, User Flows, Wireframing","Health & dental insurance, Quarterly offsites, Remote-first culture, Flexible work hours",UI/UX Design
Cloud Architect,HCL,Mumbai / Remote,Full-Time,7+ years,₹22–44 LPA,~33,5,"HAProxy, GitLab CI, Jenkins, GitHub Actions, Linux, Go, Istio","ArgoCD, FluxCD, Helm","MacBook Pro, Gym membership, ₹50K learning budget, Remote-first culture",DevOps
Brand Manager,boAt,Ahmedabad / Remote,Full-Time,4+ years,₹29–48 LPA,~15,3,"HubSpot, Marketo, Community Management, Brand Strategy, Affiliate Marketing, Video Marketing, Conversion Rate Optimisation, Adobe Suite","Market Research, Marketing Automation, Growth Hacking","Gym membership, Mental health support, Flexible work hours, Health & dental insurance, Free meals, Annual performance bonus",Marketing
FP&A Analyst,Infosys,Pune / Remote,Full-Time,7+ years,₹13–37 LPA,~8,3,"GAAP, DCF Analysis, Risk Analysis, VBA, Accounting, Treasury, Investment Banking, Excel, Equity Research","SAP, Budgeting, Cash Flow Management","Flexible work hours, MacBook Pro, Maternity/paternity leave, Quarterly offsites, ESOPs, Annual performance bonus",Finance
Software Engineer,Infosys,Mumbai / Remote,Full-Time,3+ years,₹25–74 LPA,~39,3,"Java, FastAPI, Vue.js, GCP, System Design, C++, Python, JavaScript, Linux, Kubernetes","Django, Microservices, Kafka","Gym membership, ₹50K learning budget, Annual performance bonus, Mental health support",Software Engineering
SOC Analyst,OYO,Kochi / Remote,Full-Time,5+ years,₹10–32 LPA,~39,4,"Penetration Testing, Wireshark, Python, Threat Intelligence, Cryptography, Cloud Security (AWS/GCP), OWASP Top 10","SOC Operations, Bash, OSCP","Flexible work hours, MacBook Pro, Mental health support, Health & dental insurance, Quarterly offsites",Cybersecurity
Sales Manager,Atlassian,Pune / Remote,Full-Time,7+ years,₹11–32 LPA,~26,6,"Upselling, Customer Success, Lead Generation, Pipeline Management, MEDDIC, HubSpot, Solution Selling","Negotiation, Proposal Writing, Cross-selling","Health & dental insurance, Remote-first culture, Mental health support, Gym membership",Sales
Principal Engineer,EY,Pune / Remote,Full-Time,7+ years,₹19–36 LPA,~12,5,"Python, TypeScript, Redis, System Design, React, Microservices, Terraform","PostgreSQL, FastAPI, Django","Maternity/paternity leave, Mental health support, Quarterly offsites, Health & dental insurance",Software Engineering
Performance Marketer,MakeMyTrip,Ahmedabad / Remote,Full-Time,8+ years,₹13–59 LPA,~29,3,"HubSpot, PR, Market Research, Salesforce, Affiliate Marketing, PPC, Marketo, Video Marketing, Content Marketing","Social Media, Adobe Suite, SEM","Gym membership, Flexible work hours, Free meals, MacBook Pro, Health & dental insurance, ₹50K learning budget",Marketing
Senior AE,SAP,Noida / Remote,Full-Time,3+ years,₹18–42 LPA,~8,6,"Channel Partnerships, CRM, Negotiation, Cross-selling, SPIN Selling, MEDDIC, SaaS Sales, Pipeline Management, Contract Negotiation","Account Management, Upselling, HubSpot","₹50K learning budget, Quarterly offsites, Maternity/paternity leave, Remote-first culture, ESOPs",Sales
UX Researcher,upGrad,Gurgaon / Remote,Full-Time,8+ years,₹24–63 LPA,~20,5,"Usability Testing, Zeplin, Sketch, Principle, Figma, User Research, Heuristic Evaluation, Lottie, Card Sorting, Prototyping","Information Architecture, A/B Testing, HTML/CSS","Free meals, MacBook Pro, Remote-first culture, Quarterly offsites, ₹50K learning budget",UI/UX Design
Research Scientist,Byju's,Kolkata / Remote,Full-Time,2+ years,₹26–55 LPA,~26,5,"Statistics, Redshift, PostgreSQL, PyTorch, Power BI, BigQuery","XGBoost, Kubeflow, BERT","MacBook Pro, Flexible work hours, ₹50K learning budget, Free meals, Maternity/paternity leave, Remote-first culture",Data Science
Head of DevOps,Meta,Hyderabad / Remote,Full-Time,5+ years,₹24–40 LPA,~33,4,"EKS, Nginx, GitHub Actions, Jenkins, FluxCD, CloudFormation, Linux, Docker, Consul","Bash, AWS, Prometheus","Remote-first culture, Annual performance bonus, ₹50K learning budget, Quarterly offsites, Mental health support",DevOps
Senior Software Engineer,Google,Mumbai / Remote,Full-Time,7+ years,₹19–46 LPA,~32,5,"TypeScript, Elasticsearch, Terraform, Redis, Node.js, FastAPI","JavaScript, Azure, RabbitMQ","Remote-first culture, Mental health support, ₹50K learning budget, ESOPs, Annual performance bonus",Software Engineering
Head of HR,Deloitte,Hyderabad / Remote,Full-Time,4+ years,₹29–73 LPA,~6,4,"HRIS, HRMS, LinkedIn Recruiter, Training & Development, Payroll, Change Management, Onboarding, Succession Planning","Exit Management, SAP HR, Conflict Resolution","Quarterly offsites, MacBook Pro, Flexible work hours, Annual performance bonus",Human Resources
Cloud Security Engineer,Groww,Kochi / Remote,Full-Time,9+ years,₹26–53 LPA,~13,5,"Incident Response, Network Security, PKI, CISSP, ISO 27001, OSCP, SIEM, Firewalls, Cloud Security (AWS/GCP), Zero Trust","Python, Splunk, CEH","₹50K learning budget, Quarterly offsites, Maternity/paternity leave, Annual performance bonus, Mental health support",Cybersecurity
Growth Manager,CRED,Hyderabad / Remote,Full-Time,4+ years,₹22–49 LPA,~17,4,"Social Media, Marketing Automation, CRM, Meta Ads, Programmatic Advertising, Google Ads","Salesforce, Marketo, Growth Hacking","ESOPs, Mental health support, Annual performance bonus, Flexible work hours, ₹50K learning budget",Marketing
Research Scientist,HDFC Bank,Kolkata / Remote,Full-Time,9+ years,₹10–29 LPA,~23,3,"Feature Engineering, Data Modeling, Time Series, NLP, Hive, Scikit-learn, Statistics","Kubeflow, R, MLflow","MacBook Pro, Health & dental insurance, Mental health support, Remote-first culture, ₹50K learning budget, Annual performance bonus",Data Science
Credit Analyst,CRED,Hyderabad / Remote,Full-Time,2+ years,₹15–41 LPA,~30,3,"Tax Compliance, Due Diligence, GAAP, SAP, Financial Reporting, Budgeting, CFA","Auditing, Investment Banking, IFRS","Annual performance bonus, Mental health support, ₹50K learning budget, Flexible work hours, Gym membership, Health & dental insurance",Finance
Design Lead,Atlassian,Mumbai / Remote,Full-Time,8+ years,₹10–47 LPA,~15,3,"Design Systems, Visual Design, Adobe XD, Lottie, Card Sorting, Design Thinking, Interaction Design, Zeplin","Information Architecture, User Research, Heuristic Evaluation","Health & dental insurance, Free meals, MacBook Pro, Mental health support, ESOPs",UI/UX Design
Performance Marketer,Accenture,Gurgaon / Remote,Full-Time,1+ years,₹19–67 LPA,~33,5,"PPC, Salesforce, Social Media, Influencer Marketing, Programmatic Advertising, Adobe Suite, Meta Ads, Content Marketing, Email Marketing, Google Ads","PR, LinkedIn Ads, Marketing Automation","MacBook Pro, ₹50K learning budget, Health & dental insurance, Annual performance bonus, Quarterly offsites, Flexible work hours",Marketing
Interaction Designer,Capgemini,Gurgaon / Remote,Full-Time,2+ years,₹29–40 LPA,~19,5,"Motion Design, Prototyping, Figma, Card Sorting, Information Architecture, Interaction Design, User Flows, Storyboarding","Design Systems, HTML/CSS, Principle","Health & dental insurance, Mental health support, Gym membership, ₹50K learning budget, Free meals",UI/UX Design
Sales Manager,upGrad,Chennai / Remote,Full-Time,7+ years,₹28–56 LPA,~36,4,"Account Management, BDR, Demo Skills, Proposal Writing, LinkedIn Sales Navigator, Enterprise Sales, Channel Partnerships","Cold Outreach, Pipeline Management, Contract Negotiation","Flexible work hours, Remote-first culture, Free meals, Health & dental insurance",Sales
Product Designer,Capgemini,Noida / Remote,Full-Time,1+ years,₹14–55 LPA,~6,5,"Framer, Principle, Figma, Information Architecture, A/B Testing, Usability Testing","Sketch, Storyboarding, Visual Design","MacBook Pro, Flexible work hours, Mental health support, ESOPs",UI/UX Design
CISO,Paytm,Gurgaon / Remote,Full-Time,2+ years,₹9–37 LPA,~40,5,"Python, OSCP, Threat Intelligence, Firewalls, Forensics, CISSP, Cryptography, Vulnerability Assessment","SIEM, DLP, Network Security","Quarterly offsites, Flexible work hours, Remote-first culture, Mental health support, Maternity/paternity leave, ESOPs",Cybersecurity
Growth PM,Adobe,Gurgaon / Remote,Full-Time,8+ years,₹23–45 LPA,~5,4,"KPIs, Agile, Go-to-Market Strategy, RICE Framework, Usability Testing, Kanban, Python, Stakeholder Management","Competitive Analysis, PRD Writing, Customer Discovery","Annual performance bonus, Maternity/paternity leave, MacBook Pro, Mental health support, ₹50K learning budget, Health & dental insurance",Product Management
Account Executive,Wipro,Ahmedabad / Remote,Full-Time,3+ years,₹8–21 LPA,~18,6,"Upselling, Cold Outreach, Cross-selling, SDR, Customer Success, Account Management, Pipeline Management, Solution Selling, SaaS Sales","Demo Skills, Channel Partnerships, CRM","Gym membership, Flexible work hours, Free meals, Mental health support",Sales
Senior Software Engineer,Zomato,Kolkata / Remote,Full-Time,7+ years,₹10–34 LPA,~20,5,"Microservices, Python, Django, Jenkins, Linux, Redis, React, CI/CD","RabbitMQ, AWS, Terraform","Health & dental insurance, ESOPs, Flexible work hours, Free meals, Annual performance bonus",Software Engineering
Investment Analyst,TCS,Pune / Remote,Full-Time,7+ years,₹23–42 LPA,~20,5,"CFA, Accounting, M&A, CA, Treasury, GAAP, Auditing, DCF Analysis, Cash Flow Management, Tally","Excel, IFRS, LBO Modeling","Health & dental insurance, Flexible work hours, Gym membership, MacBook Pro",Finance
HR Business Partner,Microsoft,Hyderabad / Remote,Full-Time,2+ years,₹16–65 LPA,~39,5,"Employee Relations, Payroll, HR Analytics, Onboarding, Change Management, SAP HR, LinkedIn Recruiter, Talent Acquisition, SuccessFactors, Exit Management","Performance Management, Workforce Planning, HRIS","₹50K learning budget, Remote-first culture, Health & dental insurance, MacBook Pro",Human Resources
Design Systems Engineer,Salesforce,Pune / Remote,Full-Time,7+ years,₹9–42 LPA,~29,6,"Figma, Heuristic Evaluation, Storyboarding, User Research, Wireframing, Lottie, HTML/CSS, Prototyping, Zeplin, Interaction Design","Accessibility (WCAG), InVision, Sketch","Gym membership, ESOPs, Mental health support, Maternity/paternity leave, MacBook Pro, ₹50K learning budget",UI/UX Design
CISO,MakeMyTrip,Gurgaon / Remote,Full-Time,2+ years,₹10–38 LPA,~35,4,"DLP, NIST Framework, IAM, Python, ISO 27001, SOC Operations, Cryptography, SIEM, Vulnerability Assessment, CISSP","Bash, Incident Response, Burp Suite","Quarterly offsites, Maternity/paternity leave, Gym membership, MacBook Pro, Annual performance bonus",Cybersecurity
Cloud Architect,Accenture,Chennai / Remote,Full-Time,5+ years,₹15–34 LPA,~15,5,"New Relic, Grafana, Infrastructure as Code, Nginx, Istio, Pulumi, Datadog, GKE, CloudFormation, Site Reliability Engineering","Bash, Jenkins, Loki","MacBook Pro, Flexible work hours, ESOPs, Quarterly offsites",DevOps
Senior Data Scientist,Freshworks,Pune / Remote,Full-Time,1+ years,₹10–26 LPA,~14,5,"Spark, Kubeflow, Scikit-learn, MLflow, dbt, R, PyTorch, Looker","Kafka, Statistics, Pandas","MacBook Pro, Remote-first culture, ₹50K learning budget, Quarterly offsites, ESOPs, Annual performance bonus",Data Science
Software Engineer,Unilever,Hyderabad / Remote,Full-Time,2+ years,₹19–58 LPA,~9,4,"Go, FastAPI, CI/CD, SQL, Spring Boot, Rust, Vue.js, Kubernetes, JavaScript, Node.js","Microservices, RabbitMQ, Python","Free meals, Flexible work hours, MacBook Pro, Maternity/paternity leave",Software Engineering
Principal Engineer,Zerodha,Hyderabad / Remote,Full-Time,7+ years,₹29–42 LPA,~29,3,"Django, Linux, Redis, JavaScript, Angular, Python, System Design","Java, GCP, CI/CD","Free meals, ESOPs, Mental health support, Flexible work hours",Software Engineering
CMO,Meta,Kochi / Remote,Full-Time,4+ years,₹28–74 LPA,~17,3,"Video Marketing, Google Analytics, SEO, Influencer Marketing, Content Marketing, Marketing Automation, Growth Hacking, HubSpot, Adobe Suite","Community Management, Google Ads, Market Research","Free meals, Gym membership, ESOPs, MacBook Pro, Mental health support",Marketing
CFO,Cognizant,Mumbai / Remote,Full-Time,7+ years,₹20–46 LPA,~24,4,"Valuation, Treasury, Investment Banking, SAP, Accounting, Cash Flow Management, Auditing, Credit Analysis, M&A","Oracle Financials, LBO Modeling, FP&A","Maternity/paternity leave, Flexible work hours, Annual performance bonus, MacBook Pro, Remote-first culture",Finance
Cloud Security Engineer,PhonePe,Noida / Remote,Full-Time,3+ years,₹15–40 LPA,~13,5,"CEH, Bash, NIST Framework, Network Security, ISO 27001, Splunk","DLP, SOC Operations, OSCP","Mental health support, Gym membership, Free meals, ₹50K learning budget",Cybersecurity
Brand Manager,Atlassian,Gurgaon / Remote,Full-Time,6+ years,₹14–41 LPA,~8,3,"Social Media, Conversion Rate Optimisation, CRM, Community Management, Growth Hacking, SEO","HubSpot, Google Analytics, Affiliate Marketing","Health & dental insurance, Remote-first culture, Gym membership, ₹50K learning budget, Mental health support, Annual performance bonus",Marketing
Sales Manager,boAt,Delhi / Remote,Full-Time,7+ years,₹18–64 LPA,~36,6,"Solution Selling, Enterprise Sales, Upselling, Proposal Writing, B2B Sales, CRM, Cross-selling, Salesforce, Account Management, SPIN Selling","Channel Partnerships, Lead Generation, Revenue Forecasting","Quarterly offsites, Maternity/paternity leave, Flexible work hours, Annual performance bonus, Gym membership, ESOPs",Sales
HR Business Partner,Freshworks,Pune / Remote,Full-Time,4+ years,₹14–45 LPA,~11,3,"Conflict Resolution, Training & Development, SAP HR, HR Analytics, Payroll, HRMS","Compensation & Benefits, Succession Planning, Employer Branding","Flexible work hours, Mental health support, Gym membership, Remote-first culture",Human Resources
CHRO,Freshworks,Gurgaon / Remote,Full-Time,4+ years,₹10–35 LPA,~5,4,"HRMS, Change Management, SuccessFactors, Organisational Development, Workday, HRIS, Succession Planning, HR Analytics, LinkedIn Recruiter","Training & Development, Labor Law, Workforce Planning","Flexible work hours, Maternity/paternity leave, Quarterly offsites, Remote-first culture, Mental health support, ESOPs",Human Resources
Security Analyst,PhonePe,Chennai / Remote,Full-Time,7+ years,₹14–29 LPA,~26,3,"Zero Trust, Burp Suite, Firewalls, Threat Intelligence, PKI, ISO 27001, Bash","Wireshark, NIST Framework, SOC Operations","Annual performance bonus, Mental health support, Maternity/paternity leave, ESOPs",Cybersecurity
Recruiter,CRED,Noida / Remote,Full-Time,4+ years,₹29–50 LPA,~13,4,"Onboarding, Diversity & Inclusion, Labor Law, Talent Acquisition, Workday, LinkedIn Recruiter, Training & Development, SuccessFactors, Organisational Development, Conflict Resolution","Employee Relations, Performance Management, Payroll","Annual performance bonus, Health & dental insurance, Gym membership, Free meals, Remote-first culture, Mental health support",Human Resources
Staff Engineer,Infosys,Noida / Remote,Full-Time,3+ years,₹23–54 LPA,~8,5,"Go, FastAPI, Vue.js, RabbitMQ, Angular, AWS","GitHub Actions, PostgreSQL, Django","Health & dental insurance, Annual performance bonus, Free meals, Gym membership, Mental health support, Remote-first culture",Software Engineering
UX Designer,SAP,Delhi / Remote,Full-Time,1+ years,₹22–39 LPA,~31,4,"Interaction Design, Visual Design, Design Thinking, Usability Testing, Accessibility (WCAG), Storyboarding, HTML/CSS, Motion Design","InVision, Lottie, Figma","MacBook Pro, Free meals, Quarterly offsites, Health & dental insurance, Remote-first culture",UI/UX Design
Audit Associate,upGrad,Bangalore / Remote,Full-Time,7+ years,₹23–43 LPA,~9,4,"VBA, DCF Analysis, Cash Flow Management, IFRS, FP&A, Credit Analysis, Auditing","CFA, Tax Compliance, GAAP","ESOPs, Flexible work hours, Remote-first culture, Mental health support, Gym membership",Finance
Design Systems Engineer,boAt,Delhi / Remote,Full-Time,1+ years,₹14–32 LPA,~6,6,"Lottie, Interaction Design, InVision, Principle, Usability Testing, Sketch, Adobe XD, Prototyping, Card Sorting, Visual Design","Accessibility (WCAG), Storyboarding, Figma","Maternity/paternity leave, Remote-first culture, MacBook Pro, Annual performance bonus, Health & dental insurance",UI/UX Design
Senior AE,upGrad,Kochi / Remote,Full-Time,6+ years,₹30–77 LPA,~13,5,"Pipeline Management, Salesforce, Demo Skills, Customer Success, Upselling, Revenue Forecasting, SPIN Selling, Cross-selling, Negotiation, Account Management","SaaS Sales, HubSpot, CRM","Flexible work hours, Gym membership, Mental health support, MacBook Pro, Annual performance bonus",Sales
Finance Manager,Morgan Stanley,Hyderabad / Remote,Full-Time,8+ years,₹14–53 LPA,~19,3,"LBO Modeling, GAAP, Tax Compliance, DCF Analysis, CFA, Auditing","Oracle Financials, Credit Analysis, Tally","Flexible work hours, MacBook Pro, ₹50K learning budget, Free meals",Finance
Product Manager,Ola,Pune / Remote,Full-Time,4+ years,₹13–28 LPA,~13,3,"Scrum, Competitive Analysis, Stakeholder Management, Figma, Confluence, PRD Writing, User Research, Customer Discovery","KPIs, Product Analytics, Amplitude","Free meals, Flexible work hours, MacBook Pro, Mental health support",Product Management
Design Systems Engineer,CRED,Pune / Remote,Full-Time,3+ years,₹21–44 LPA,~9,4,"Figma, User Research, Prototyping, Design Thinking, Information Architecture, User Flows","HTML/CSS, Storyboarding, Motion Design","Quarterly offsites, Mental health support, ESOPs, Annual performance bonus",UI/UX Design
